ExtractDate,FHRSID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingDate,Longitude,Latitude
2/14/2014,48924,Luigi's,Restaurant/Cafe/Canteen,1,1044 Pollokshaws Road,Glasgow,G41 3EB,11/11/2013,-4.279512,55.831471
2/14/2014,10510,Luv Cafe,Restaurant/Cafe/Canteen,1,1121 Govan Road,Glasgow,G51 4RX,6/23/2010,-4.329605,55.864011
2/14/2014,444480,Lychee Oriental,Restaurant/Cafe/Canteen,1,59 Mitchell Street,Glasgow,G1 3LN,1/22/2014,-4.256295,55.859338
2/14/2014,44669,Mabel Mckinlay Tearoom (Glasgow Royal Infirmary),Restaurant/Cafe/Canteen,1,16 Alexandra Parade,Glasgow,G31 2ER,11/22/2012,-4.232265,55.865249
2/14/2014,534335,Mac Snacks,Restaurant/Cafe/Canteen,1,95 Spiersbridge Lane,Glasgow,G46 8AJ,3/12/2013,-4.326339,55.801896
2/14/2014,607021,MacPhees,Restaurant/Cafe/Canteen,1,2234 Paisley Road West,Glasgow,G52 3SJ,10/28/2013,-4.358337,55.846018
2/14/2014,124670,MacPhee's Sandwich Bar And Deli,Restaurant/Cafe/Canteen,1,1288 Paisley Road West,Glasgow,G52 1DB,4/27/2012,-4.324414,55.84776
2/14/2014,106408,Mac's Cafe,Restaurant/Cafe/Canteen,1,45 Harland Street,Glasgow,G14 0AT,11/13/2009,-4.349091,55.87651
2/14/2014,26419,Maggie May,Restaurant/Cafe/Canteen,1,60 Trongate,Glasgow,G1 5EP,6/11/2013,-4.245757,55.857275
2/14/2014,594141,Maggie's Cosy Cottage,Restaurant/Cafe/Canteen,1,29 Buchanan Street,Glasgow,G69 6DY,1/24/2014,-4.11148,55.850962
2/14/2014,25944,Magic Bean Sports Cafe,Restaurant/Cafe/Canteen,1,10 Dougrie Road,Glasgow,G45 9AH,8/15/2013,-4.236396,55.806136
2/14/2014,49062,Magic Grill,Restaurant/Cafe/Canteen,1,1341 Dumbarton Road,Glasgow,G14 9UZ,1/16/2014,-4.343177,55.875742
2/14/2014,48482,Malaga Tapas,Restaurant/Cafe/Canteen,1,213 St Andrews Road,Glasgow,G41 1PD,7/9/2013,-4.274624,55.845663
2/14/2014,49186,Mama's Rasoi,Restaurant/Cafe/Canteen,1,82 Howard Street,Glasgow,G1 4EE,11/23/2011,-4.254687,55.856401
2/14/2014,84794,Mamma Mia,Restaurant/Cafe/Canteen,1,14 Castlemilk Arcade,Glasgow,G45 9AA,6/21/2010,-4.235119,55.806689
2/14/2014,31226,Manhattan's Bar and Diner,Restaurant/Cafe/Canteen,1,231 St Andrews Road,Glasgow,G41 1PD,5/20/2010,-4.274624,55.845663
2/14/2014,48725,Mansion House,Restaurant/Cafe/Canteen,1,20 Glassford Street,Glasgow,,8/31/2011,-4.24909007,55.85818028
2/14/2014,36421,Marions Coffee Shop,Restaurant/Cafe/Canteen,1,254 Gallowgate,Glasgow,G4 0TS,2/4/2012,-4.236938,55.855063
2/14/2014,26208,Marks And Spencer Outlet,Restaurant/Cafe/Canteen,1,941 Gallowgate,Glasgow,G31 4BW,8/11/2010,-4.212689,55.85489
2/14/2014,315914,Martha's,Restaurant/Cafe/Canteen,1,142 St Vincent Street,Glasgow,G2 5LA,3/19/2013,-4.25852,55.861876
2/14/2014,95492,Maryhill Bowling Club,Restaurant/Cafe/Canteen,1,29 Duart Street,Glasgow,G20 0EG,1/29/2010,-4.299646,55.897397
2/14/2014,118067,Maryhill Fire Station,Restaurant/Cafe/Canteen,1,775 Maryhill Road,Glasgow,G20 7TL,11/22/2011,-4.279393,55.882351
2/14/2014,221713,Masala Twist,Restaurant/Cafe/Canteen,1,194 Byres Road,Glasgow,G12 8SN,10/27/2013,-4.293818,55.874803
2/14/2014,511138,Masala Twist,Restaurant/Cafe/Canteen,1,261 Hope Street,Glasgow,G2 3PS,7/24/2013,-4.257465,55.864906
2/14/2014,612674,Massimo,Restaurant/Cafe/Canteen,1,57 Elmbank Street,Glasgow,G2 4PQ,11/25/2013,-4.268436,55.865576
